Name,Description,Location,Price,Url,Image
2 Bed House with Garden at Comboni Drive,2 Bed House with Garden at Comboni Drive,"Karen Comboni, Comboni Drive, Karen","KSh 85,000",/listings/2-bedroom-house-for-rent-karen-3610251,https://i.roamcdn.net/prop/brk/listing-thumb-376w/0c913f176d3ff0731745fc9c62d9f3fc/-/prod-property-core-backend-media-brk/5317211/dfa15824-e74b-4e03-8187-9c00d9c91442.jpg
4 Bed House with En Suite at Runda,4 Bed House with En Suite at Runda,"x, runda, Runda, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-runda-3612131,https://i.roamcdn.net/prop/brk/listing-thumb-376w/36bd7a2394ad4d444dfcc94d6f3b6e0e/-/prod-property-core-backend-media-brk/5343853/ab61484e-5199-4f3a-aa15-bb39f26b816a.jpg
4 Bed House with Garden in Muthaiga,4 Bed House with Garden in Muthaiga,Muthaiga,"KSh 470,500",/listings/4-bedroom-house-for-rent-muthaiga-3633292,https://i.roamcdn.net/prop/brk/listing-thumb-376w/358b9107f7552857cb94c0770ff023a9/-/prod-property-core-backend-media-brk/5664154/6e5e979c-aa0e-4b71-8a5e-845022dccb3c.jpg
5 Bed House with En Suite at Muthaiga,5 Bed House with En Suite at Muthaiga,"01, Muthaiga","KSh 700,000",/listings/5-bedroom-house-for-rent-muthaiga-3645159,https://i.roamcdn.net/prop/brk/listing-thumb-376w/25c5807f8f2303b3ab6f56f6ccd49ba4/-/prod-property-core-backend-media-brk/5836965/6b9d6b54-42ca-48a9-85a9-b325039f361f.jpeg
4 Bed House with En Suite at Spring Valley,4 Bed House with En Suite at Spring Valley,"01, Spring Valley, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-spring-valley-3645212,https://i.roamcdn.net/prop/brk/listing-thumb-376w/a334fd18c4ec1f82340cdf4e811f5fc7/-/prod-property-core-backend-media-brk/5837620/1377a3d1-a7c5-410f-9908-f5ccac9168a8.jpeg
3 Bed Townhouse with En Suite in Lower Kabete,3 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands","KSh 550,000",/listings/3-bedroom-townhouse-for-rent-lower-kabete-3636411,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8c3284fe256caf49f8e48ed793746c4d/-/prod-property-core-backend-media-brk/5709806/c9b1c5d4-45e2-44e3-b9e8-a3245b263325.jpg
4 Bed House with En Suite at Ridgeways,4 Bed House with En Suite at Ridgeways,"01, Ridgeways","KSh 250,000",/listings/4-bedroom-house-for-rent-ridgeways-3646146,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2f73241eb4aaba2cebaef458ad51ae5c/-/prod-property-core-backend-media-brk/5851897/ddd38fbf-c40f-4dd1-b0e6-b4f12cb24c2e.jpg
4 Bed House with En Suite at Karen,4 Bed House with En Suite at Karen,"01, Karen","KSh 300,000",/listings/4-bedroom-house-for-rent-karen-3645056,https://i.roamcdn.net/prop/brk/listing-thumb-376w/4be5ba7f6b4fd77d36b535972651f964/-/prod-property-core-backend-media-brk/5835654/ffca6a79-9ad7-4e51-9eb8-d04e8074bf33.jpeg
5 Bed Townhouse with En Suite at Off Peponi Rd,5 Bed Townhouse with En Suite at Off Peponi Rd,"Off Peponi rd, Westlands Area, Westlands","KSh 250,000",/listings/5-bedroom-townhouse-for-rent-westlands-area-3644938,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1a095d29c98ea7d0ba896a0ad0a7f948/-/prod-property-core-backend-media-brk/5833780/76780738-06fd-4332-b4fd-d818e6560e10.jpeg
4 Bed Townhouse with En Suite at Runda,4 Bed Townhouse with En Suite at Runda,"Runda, Westlands","KSh 320,000",/listings/4-bedroom-townhouse-for-rent-runda-3634212,https://i.roamcdn.net/prop/brk/listing-thumb-376w/50bfa3020eb497be4a53f77d983cedca/-/prod-property-core-backend-media-brk/5677689/7dfcd071-5034-46bc-80be-1f6333344ed4.jpg
4 Bed Townhouse with En Suite at Kiambu Road,4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,"KSh 250,000",/listings/4-bedroom-townhouse-for-rent-kiambu-road-3641962,https://i.roamcdn.net/prop/brk/listing-thumb-376w/bed4ac1aed4e0c95ccfca30fae32211e/-/prod-property-core-backend-media-brk/5791210/cfc33c5b-8230-4b1c-9b23-4eb36333cb3f.jfif
